<TOKEN>,<NUM>,<DATE>,<CODE>,<DESCR>
1,1,21.01.19,001,На проходе стоял контейенр с заготовками  риск падения и получения травмы
2,2,21.01.19,001,около станка VF 4 на проходе стоял контейнер  у которого из боковой стенки торчала проволока  риск повреждения 
3,3,21.01.19,001,рядом со станком SL 20 № 21 плохо закрепленный шланг подачи воздуха. Риск споткнуться
4,4,21.01.19,001,после разгрузки деталей рохля осталась на проходе
5,5,22.01.19,001,защитные ширмы на участке очень хлипкие  отвалилась сварка. Есть возможность получить травму.
6,6,22.01.19,001,между печью СМЗ и установкой образивноструйной очистки течет вода с крыши
7,7,22.01.19,001,на рабочем посту стоят контейнера с готовой продукцией
8,8,22.01.19,001,на участке размещен крупногабаритный контейенр  который випирает на проход и мешает безопасному передвижению
9,9,22.01.19,001,Течь масла со станка № 11. Риск поскользнуться и получить травму
10,10,22.01.19,001,на участке стоял не эргономичный стеллаж для готовых изделий. Риск повредить пальцы при разгрузке готовой продукуии
11,11,22.01.19,001,на участке стоял защитный экран  об который спотыкались сотрудники 
12,12,23.01.19,001,фрезерный станок № 12 находиться в разобранном состоянии. Стол с КП мешает движению. Возможность задеть и получить травму.  
13,13,23.01.19,001,Возле бочки с СОЖ пролита вода.Что может привести к травме.
14,14,23.01.19,001, Новые шкафы для личных вещей имеют острые края. Есть возможность получить порез.
15,15,23.01.19,001,на  фрезерном участке с ПУ доска SIM1 имеет выступающие ножки - опоры об которые спотыкаются сотрудники.
16,16,23.01.19,001,из контейнера с отходами металла торчат прутки  полотна от пил. Риск получить травму.
17,17,23.01.19,001,на фрезерном участке на проход выступает часть разодранного станка. Есть возможность получить травму.
18,18,23.01.19,001,у стула подломлена ножка. Есть риск получить травму.
19,19,23.01.19,001,возле фрезерного станка №12 лежит трап об который можно споткнуться и получить травму.
20,20,23.01.19,001,на фрезерном участке на батареях установлены защитные кожуха. Часть из них не закреплена к подоконнику. Есть возможность падения гожуха и получения травмы
21,21,23.01.19,001,не срабатывает замок на двери компрессорной  и оттуда дует холодный воздух. Есть возможность простудиться.
22,22,23.01.19,001,с крыши  со стороны женской раздевалки  свисают большие сосульки.
23,23,23.01.19,001,из контейнера торчат прутки. Зацепился штаниной.
24,24,23.01.19,001,На фрезерном участке складировали старые ограждения  которые мешали проходу  Была возможность зацепиться и получить травму.
25,25,23.01.19,001,на фрезерном участке на станке VF CR 2-18 при выгрузке деталей задело барабаном  что могло привести к травме.
26,26,24.01.19,001,на фрезерном станке 4-07 не работают концевики поперечной и продольной подачи. Нет тормозов. Нет отбрасывателя рукоятки поперечной подачи. Есть возможность получить травму
27,27,29.01.19,001,При поездке в вахтовом автобусе не за что держаться. Отсутствуют поручни. Есть риск упасть и получить травму.
28,28,30.01.19,001,рядом с модулем ПРБ находиться курилка. Весь табачный дым из курилки просачивается в модуль ПРБ  что приводит к плохому самочуствию.
29,29,23.01.19,001,За печами Сикрон  ПКН течет вода с крыши  рсик поскользнуться
30,30,23.01.19,001,Плохое освещение заточного участка. При заточке плохо видно инструмент 
31,31,23.01.19,001,Коротит лампочку в душе  моргает. Риск поражения эл током
32,32,23.01.19,001,Сломан кран регулировки концентрации эмульсии. Риск не верного разведения раствора и аллергической реакции на руках
33,33,23.01.19,001,На проходе лежит шланг с воздухом  через который запнулся сотрудник
34,34,23.01.19,001,Задараны края железного листа около контейнера со стружкой  риск споткнуться
35,35,23.01.19,001,Течь масла со станка № 8. Риск поскользнуться
36,36,24.01.19,001,Тянет сигаретным дымом в модуль ПРБ  находящийся в непосредственной близости. Риск получения отравления сигаретным дымом
37,37,30.01.19,001,Разлита эмульсия  риск поскользнуться
38,38,30.01.19,001,Возле станков прислонена заготовка из прутков.Риск падения и нанесения травмы
39,39,31.01.19,001,На полу разлита лужа СОЖ
40,40,31.01.19,001,Убавлено отопление  очень холодно. Риск заболеть
41,41,31.01.19,001,Не закреплен шланг воздуха. Риск споткнуться
42,42,28.01.19,001,Фонарь на участке мерцает  горит не стабильно
43,43,29.01.19,001,После замены эмульсии в станке началась аллергическая реакция
44,44,30.01.19,001,не работатет система вытяжки образива
45,45,31.01.19,001,нет освещения внутри станка Шпиннер
46,46,31.01.19,001,Идет гарь из слесарной мастерской  находящейся рядом со складом. Риск возникновения головных болей
47,47,01.02.19,001,Протекает кран с эмульсией. Риск поскользнуться
48,1,01.02.19,001,Бликует мерительный инструмент из-за недостаточного освещения. Сложно разглядеть значение на шкале. 
49,2,06.02.19,001,За печью СМЗ течет вода на пульт управления печи  риск замыкания
50,3,06.02.19,001,за установкой КСО 1104 с крыши по стене течет вода. Риск замыкания
51,4,04.02.19,001,возле контейнера с отходами лежат остатки металла
52,5,04.02.19,001,возле ворот гололед риск поскользнуться 
53,6,05.02.19,001,между станками торчат болты крепежей заземления  риск споткнуться 
54,7,06.02.19,001,при установке контейенера в зону входящих деталей  приоткрывается люк на полу  риск споткнуться
55,8,06.02.19,001,течь масла на станке SL 20 риск поскользнуться
56,9,06.02.19,001,невозможен безопасный доступ к органам управления станка при расположении 2х проходных контейенеров в зоне деталей
57,10,06.02.19,001,в станке Spinner перегорели лампы освещения
58,11,06.02.19,001,деформация крюка одной из цепных строп
59,12,06.02.19,001,на участке из-под хомута на трубе капает вода и портит детали  они ржавеют
60,13,07.02.19,001,оператор споткнулся о не закрепленную шину заземления  но не упал
61,14,08.02.19,001,прохудилась крыша  вода капает на эл штабелер  риск короткого замыкания
62,15,09.02.19,001,на проходе стоит контейнер
63,16,09.02.19,001,около станка SL 10 № 23 разлилась СОЖ риск поскользнуться
64,17,10.02.19,001,около станка SL 20 № 8 разлита СОЖ риск поскользнуться
65,18,11.02.19,001,за установкой КСО 1104 с крыши по стене течет вода. Риск замыкания
66,19,13.02.19,001,вытягивание одной из цепных строп и деформация крюка
67,20,13.02.19,001,сквозняк около станков 10 11   что может привезти к заболеванию
68,21,13.02.19,001,за окном наблюдается огромная куча снега которая засыпала половину окна. Риск выдавливания стекла  получения травмы 
69,22,14.02.19,001,сквозняк около станков 10 11   что может привезти к заболеванию
70,23,14.02.19,001,вытяжная вентиляция не забирает пыль т образив из рабочей зоны
71,24,15.02.19,001,на участке располагается контейенр с острыми кромками
72,25,15.02.19,001,с питьевого фонтанчика подтекает вода  которая стекает на кафель в туалете  риск поскользнуться
73,26,18.02.19,001,при переносе заготовки из контейенера на станок заготовка сорвалась из рук и упала  травмы удалось избежать.
74,27,19.02.19,001,между станком и стеллажом торчит шланг  об который можно споткнуться
75,28,19.02.19,001,произошла утечка СОЖ из-за скопления стружки на сетке-фильтре
76,29,19.02.19,001,из контейнера с отходами торчат использованные пилы риск пореза
77,30,19.02.19,001,недостаточное освещение плохо видно шкалу мерительных приборов риск ухудшения зрения
78,31,19.02.19,001,из подножного трапа торчит гвозь
79,32,20.02.19,001,около станка SL 20 № 8 разлита СОЖ риск поскользнуться
80,33,21.02.19,001,станок № 33 на участке не оборудован столом  не куд аположить детали и инструмент
81,34,21.02.19,001,в комнате приема пищи в мужской раздевалке оборвана розетка
82,35,21.02.19,001,на стойке около станка висят крючки  из пола торчит труба.Риск получения травмы+J59
83,36,21.02.19,001,при закрытом станке во время работы через щель в двери вылетают брызги эмульсии
84,37,25.02.19,001,при открывании шкафа с уборочным инвентарем вываливается содержимое шкафа. Риск получения травмы
85,38,25.02.19,001,сквозняк на участке
86,1,01.03.19,001,на полу постоянно вода  риск поскользнуться и получить травму.
87,2,01.03.19,001,сбоку станка 1-33 расположена зона вх/исх деталей станков 3-05  3-06. это мешает подходу к станку.
88,3,01.03.19,001,На участке HAAS у ворот образовалась лужа после заезда машины  забирающей мусор. Скользко  есть вохзможность поскользнуться.
89,4,01.03.19,001,с питьевого фонтанчика подтекает на пол вода. Есть возможность поскользнуться и получить травму.
90,5,01.03.19,001,у станка SL20 №8 подтекает СОЖ. Есть риск поскользнуться и получить травму.
91,6,06.03.19,001,возле станка  на трубе капли от сварки. Зацеплся курткой и ударился головой.
